id,date,product_id,desk_id,quantity,amount
1,2023-03-10,840,606,70,39641
2,2023-01-27,711,766,76,76028
3,2023-01-28,634,851,41,32170
4,2023-02-12,649,249,59,74680
5,2023-02-23,474,886,88,44721
6,2023-03-01,730,248,86,29630
7,2023-03-15,468,404,84,28334
8,2023-03-08,905,932,44,7375
9,2023-02-13,266,285,16,39780
10,2023-01-20,278,970,63,69312
11,2023-01-21,143,327,55,92040
12,2023-03-06,593,463,11,83771
13,2023-01-20,767,863,76,50207
14,2023-02-15,480,390,67,56920
15,2023-01-06,179,969,50,91691
16,2023-01-05,416,703,44,31488
17,2023-03-13,554,809,91,16068
18,2023-01-22,966,866,15,85778
19,2023-01-30,176,931,99,73684
20,2023-01-17,186,391,40,31665
21,2023-02-28,618,298,26,56489
22,2023-03-11,541,527,82,90481
23,2023-01-21,181,310,27,53145
24,2023-01-13,751,597,72,17128
25,2023-01-26,863,723,31,67265
26,2023-02-27,149,298,89,78238
27,2023-02-27,531,781,86,7020
28,2023-04-01,958,492,49,3891
29,2023-03-29,127,741,29,65289
30,2023-02-03,858,498,69,53698
31,2023-01-31,563,846,56,31313
32,2023-04-03,960,192,83,90696
33,2023-01-24,291,241,43,65657
34,2023-01-11,459,769,54,29653
35,2023-03-08,731,362,82,62467
36,2023-03-24,876,231,66,86098
37,2023-01-16,997,205,29,83210
38,2023-02-14,862,656,10,23119
39,2023-03-13,955,340,79,26794
40,2023-04-05,121,741,87,32036
41,2023-01-03,660,614,84,90611
42,2023-02-15,792,673,42,12397
43,2023-03-13,750,217,82,38214
44,2023-02-06,501,794,89,13905
45,2023-01-31,429,307,29,46378
46,2023-01-31,402,151,16,50048
47,2023-01-15,995,956,53,25992
48,2023-02-02,232,301,25,96657
49,2023-03-02,865,572,10,93946
50,2023-03-29,268,435,85,19153
51,2023-01-29,974,427,39,53505
52,2023-01-07,167,963,16,81847
53,2023-03-06,628,119,71,23358
54,2023-01-09,292,823,19,77980
55,2023-01-08,636,819,75,77225
56,2023-02-13,770,342,74,46760
57,2023-02-16,643,859,83,70794
58,2023-01-08,624,659,43,53688
59,2023-01-09,491,216,41,40916
60,2023-03-22,973,496,54,55776
61,2023-02-15,265,529,79,39220
62,2023-04-02,277,965,62,30634
63,2023-04-06,888,792,74,71629
64,2023-02-24,411,315,42,77549
65,2023-03-02,395,968,97,57940
66,2023-03-02,852,812,69,77068
67,2023-04-01,741,963,60,90522
68,2023-02-09,668,860,73,95891
69,2023-02-14,619,592,76,93006
70,2023-01-05,742,245,39,45179
71,2023-01-27,760,240,61,9760
72,2023-02-08,549,745,33,93946
73,2023-03-09,298,531,100,75176
74,2023-01-23,660,619,73,43921
75,2023-01-19,268,120,90,7812
76,2023-03-05,780,872,88,42861
77,2023-03-06,561,778,40,18794
78,2023-02-18,274,131,11,42507
79,2023-02-26,910,675,49,72878
80,2023-03-06,314,648,40,58868
81,2023-03-23,663,496,13,18649
82,2023-02-20,269,246,25,52336
83,2023-03-15,972,712,10,68204
84,2023-03-06,514,676,12,74730
85,2023-03-10,799,574,17,6228
86,2023-03-11,367,947,85,38704
87,2023-01-27,362,454,27,68392
88,2023-03-24,875,192,82,9039
89,2023-03-23,791,233,42,74482
90,2023-01-11,746,537,21,90470
91,2023-01-12,641,893,99,4534
92,2023-01-27,962,926,63,46365
93,2023-01-17,788,761,37,65961
94,2023-02-05,859,123,76,55593
95,2023-03-04,836,302,39,70741
96,2023-01-20,893,597,91,43023
97,2023-02-28,855,180,50,67855
98,2023-01-08,862,812,42,4041
99,2023-01-31,951,450,62,98130
100,2023-02-20,654,150,31,5547
101,2023-02-26,394,582,54,96915
102,2023-02-01,833,271,54,43592
103,2023-04-05,548,547,80,27160
104,2023-03-19,740,506,21,91086
105,2023-02-01,160,651,42,90482
106,2023-03-06,387,770,86,45462
107,2023-01-19,520,921,14,20190
108,2023-03-24,127,425,90,32144
109,2023-03-03,990,351,55,18847
110,2023-03-21,753,267,87,3938
111,2023-01-15,488,632,36,48093
112,2023-03-10,953,411,34,74577
113,2023-03-16,308,143,87,18770
114,2023-02-23,679,588,43,83594
115,2023-01-01,752,246,37,35146
116,2023-01-22,550,205,43,77883
117,2023-03-21,784,416,16,51589
118,2023-01-01,584,492,33,5175
119,2023-01-26,471,492,22,44437
120,2023-04-06,843,937,81,54665
121,2023-01-25,204,591,67,59417
122,2023-01-02,585,135,32,81833
123,2023-01-31,328,778,52,29586
124,2023-01-23,863,782,96,97054
125,2023-02-07,962,960,58,59403
126,2023-03-23,730,220,47,50075
127,2023-03-29,820,988,83,39036
128,2023-02-19,240,543,86,10023
129,2023-04-05,591,309,36,73801
130,2023-01-22,187,318,60,56612
131,2023-01-21,354,359,75,34476
132,2023-01-04,673,201,87,29727
133,2023-03-09,650,355,23,68205
134,2023-01-08,745,663,33,3743
135,2023-03-19,241,486,37,69585
136,2023-03-07,670,323,99,31466
137,2023-01-26,605,939,83,70700
138,2023-01-19,331,285,72,80776
139,2023-04-01,936,393,45,55620
140,2023-02-25,718,931,80,9907
141,2023-04-01,573,256,22,89537
142,2023-03-27,339,497,96,40955
143,2023-02-06,929,933,85,11141
144,2023-01-25,477,607,95,1052
145,2023-01-07,716,814,97,71244
146,2023-03-31,372,849,22,5859
147,2023-01-06,861,299,63,64572
148,2023-03-05,208,624,71,5786
149,2023-03-03,507,724,59,88032
150,2023-02-26,110,474,40,73297
151,2023-01-17,338,454,46,94981
152,2023-03-04,992,645,80,68935
153,2023-01-08,163,556,84,32244
154,2023-03-29,172,706,76,24899
155,2023-04-05,624,838,73,62502
156,2023-04-05,687,103,88,9769
157,2023-01-09,231,427,23,88462
158,2023-03-26,828,916,94,4782
159,2023-02-20,275,216,85,41907
160,2023-01-09,671,566,35,21725
161,2023-02-15,737,824,37,18906
162,2023-01-29,507,469,92,72774
163,2023-04-05,521,210,98,8927
164,2023-04-06,756,995,85,52505
165,2023-03-14,302,904,90,79865
166,2023-01-28,594,302,42,40573
167,2023-04-01,903,968,47,95698
168,2023-03-20,870,847,46,84567
169,2023-04-04,305,533,50,72033
170,2023-02-28,528,927,86,46356
171,2023-02-25,824,948,33,6813
172,2023-03-10,567,194,55,65849
173,2023-03-19,925,903,88,36598
174,2023-02-09,505,287,55,75868
175,2023-02-13,397,303,58,15576
176,2023-02-18,479,432,88,40289
177,2023-02-01,651,120,55,66760
178,2023-02-12,810,288,20,56642
179,2023-02-21,399,790,51,27917
180,2023-01-10,119,116,31,16624
181,2023-02-09,296,487,26,26442
182,2023-03-11,199,536,23,94049
183,2023-02-18,483,702,18,16784
184,2023-03-13,922,910,84,57133
185,2023-03-11,414,810,59,90070
186,2023-02-15,143,381,56,25709
187,2023-02-07,552,953,35,59104
188,2023-03-18,192,315,15,13041
189,2023-01-16,997,218,71,68855
190,2023-01-27,835,424,15,9859
191,2023-02-23,343,547,69,87559
192,2023-03-10,278,990,93,29872
193,2023-03-07,814,389,53,93970
194,2023-03-21,472,344,66,36500
195,2023-02-21,893,304,78,60828
196,2023-01-09,770,372,35,59789
197,2023-02-20,567,268,76,1033
198,2023-01-19,843,354,60,21469
199,2023-01-06,262,774,35,19347
200,2023-02-17,983,675,88,73932
201,2023-03-14,390,285,69,48138
202,2023-02-03,663,660,66,83129
203,2023-01-06,372,456,30,98769
204,2023-03-02,106,609,54,65084
205,2023-02-28,612,160,28,14647
206,2023-01-18,298,725,27,6221
207,2023-04-05,391,775,87,27191
208,2023-01-04,953,947,94,55120
209,2023-01-29,246,928,30,62069
210,2023-04-05,451,288,80,25247
211,2023-01-10,988,821,37,53412
212,2023-01-21,116,414,63,19322
213,2023-03-23,458,275,45,69301
214,2023-02-21,492,966,42,34558
215,2023-02-07,875,242,44,74365
216,2023-03-21,465,203,82,95659
217,2023-01-02,209,397,41,94091
218,2023-01-25,950,847,65,24180
219,2023-01-09,591,329,28,71835
220,2023-02-04,956,897,66,75196
221,2023-03-13,774,508,47,31209
222,2023-02-24,700,636,36,78595
223,2023-02-04,805,992,89,83654
224,2023-01-06,223,676,80,71575
225,2023-04-03,222,808,70,59761
226,2023-02-27,286,903,15,1043
227,2023-03-21,419,185,53,39896
228,2023-01-12,306,815,83,93655
229,2023-03-24,493,276,15,73636
230,2023-02-05,422,344,34,70101
231,2023-01-07,239,267,33,17736
232,2023-01-08,213,275,94,98021
233,2023-01-23,491,906,46,86399
234,2023-01-12,803,661,86,73762
235,2023-02-02,282,511,54,79593
236,2023-01-12,728,124,65,11478
237,2023-01-06,346,847,77,88344
238,2023-03-19,902,146,36,91948
239,2023-01-19,986,205,28,42233
240,2023-02-13,142,126,75,66307
241,2023-01-26,409,744,90,21863
242,2023-03-29,369,264,42,22890
243,2023-02-05,758,1000,41,81669
244,2023-02-08,248,862,31,32357
245,2023-03-17,641,787,44,85852
246,2023-03-23,327,862,30,32199
247,2023-02-05,697,587,16,24855
248,2023-03-07,499,813,70,58431
249,2023-01-29,970,780,22,8279
250,2023-01-14,763,178,18,80232
251,2023-02-24,573,611,73,53726
252,2023-03-07,947,977,94,76738
253,2023-02-16,594,501,77,48755
254,2023-03-15,138,225,35,47266
255,2023-02-20,609,862,25,82545
256,2023-02-14,963,803,15,33816
257,2023-01-31,696,211,62,32270
258,2023-02-16,168,667,52,33616
259,2023-03-08,122,354,47,47171
260,2023-01-06,745,708,11,39104
261,2023-03-11,323,880,63,21675
262,2023-02-12,596,509,63,66109
263,2023-02-10,493,396,55,8738
264,2023-01-04,959,707,45,76174
265,2023-01-04,800,885,35,45222
266,2023-04-02,940,111,98,82897
267,2023-03-13,921,232,84,21070
268,2023-04-06,902,448,37,66949
269,2023-01-05,177,973,17,51888
270,2023-02-07,404,973,86,57278
271,2023-01-18,289,890,92,61002
272,2023-01-12,679,594,10,53217
273,2023-01-02,684,175,22,48653
274,2023-02-15,319,363,27,54799
275,2023-03-21,339,522,20,11224
276,2023-02-08,541,181,40,3984
277,2023-03-11,292,558,48,96362
278,2023-02-27,566,838,74,57396
279,2023-01-28,641,839,71,96974
