id,trade_date,desk_id,product_id,quantity_0_30,quantity_31_60,quantity_61_90,quantity_91_180,quantity_181_360,quantity_GT360
100,2020-05-14,921,148,18,29,-44,97,51,-59
101,2022-10-02,730,768,30,-43,75,75,87,-10
102,2022-11-23,763,660,82,-91,-2,-92,7,-42
103,2022-09-06,517,555,-62,62,81,47,-7,-14
104,2020-11-22,454,784,-78,64,86,31,71,-66
105,2022-07-10,697,567,-5,-26,70,89,33,-97
106,2022-09-05,592,733,-39,-27,-79,-23,-85,77
107,2020-07-03,313,457,-44,-99,-53,53,69,-77
108,2021-06-24,584,721,34,-81,23,-28,92,66
109,2022-01-10,674,834,49,54,59,35,-31,77
110,2020-11-10,318,410,-98,-62,-52,81,56,-100
111,2021-02-23,169,950,36,-53,-35,-57,17,-85
112,2021-11-18,456,411,-52,34,12,83,35,-82
113,2022-03-02,279,906,77,-65,59,-92,94,-34
114,2022-09-24,296,793,11,5,31,7,80,89
115,2022-10-09,736,601,79,42,3,49,-29,90
116,2020-04-28,391,996,-18,-57,-68,35,12,-92
117,2021-02-01,959,381,-10,-95,93,-57,13,-24
118,2021-10-23,271,911,-31,83,-99,-49,49,-97
119,2022-06-12,743,590,21,68,100,-52,-58,-18
120,2022-05-12,432,332,-87,-82,-16,88,-17,62
121,2020-10-15,449,930,-83,40,42,77,-75,-3
122,2021-01-12,257,834,10,-33,69,-31,21,-93
123,2022-10-28,644,811,52,-22,-14,-25,79,53
124,2022-07-13,434,250,24,-47,-4,96,42,-5
125,2022-07-23,790,444,49,-89,89,-98,-32,73
126,2022-08-21,990,114,-31,-12,98,-77,-69,59
127,2022-12-07,456,726,-5,79,-27,97,-19,-97
128,2021-08-22,802,274,-92,49,51,92,-55,100
129,2020-12-04,119,925,82,82,-81,-61,18,-53
130,2021-05-04,533,160,0,-59,60,-49,18,-87
131,2021-04-03,839,106,-49,65,35,31,39,48
132,2021-01-28,505,944,-71,0,-94,15,76,-24
133,2021-08-25,251,365,39,-3,-80,78,-29,26
134,2020-12-14,234,112,-48,-69,19,17,-77,23
135,2020-05-11,711,783,81,9,-19,-81,-30,-86
136,2020-04-26,942,386,-6,8,-46,71,-46,15
137,2022-09-13,413,973,26,55,-40,16,-31,-15
138,2022-08-30,768,648,-78,66,-75,78,-38,-90
139,2021-01-22,649,725,58,-93,-4,-47,52,15
140,2020-08-01,334,747,-90,-89,73,64,-21,63
141,2022-09-27,700,372,-18,-73,-42,-57,-88,95
142,2022-11-25,920,157,88,-91,-17,49,-38,-88
143,2022-01-04,940,122,-18,-51,-67,-49,51,22
144,2022-04-07,706,508,-34,44,-8,73,19,25
145,2022-01-24,830,342,91,79,-33,-100,-56,-38
146,2020-11-20,954,337,-31,-4,73,-16,58,88
147,2021-04-30,444,918,76,27,-82,-73,-90,93
148,2021-08-20,148,902,-54,-44,-51,71,20,-48
149,2022-10-23,766,548,81,87,39,-94,61,-57
150,2021-04-25,102,396,94,30,41,58,-18,-91
151,2021-06-06,284,302,-94,88,-47,14,-73,-76
152,2020-05-18,369,656,63,36,79,54,-76,89
153,2021-12-21,335,710,32,-48,-61,31,-10,13
154,2022-01-29,217,786,33,-45,12,32,59,75
155,2022-08-07,968,226,38,-61,51,63,-74,-50
156,2021-11-20,937,197,-84,-64,81,-20,-59,5
157,2022-02-19,221,493,90,-75,56,48,-73,32
158,2022-04-12,112,192,-70,-99,-49,-9,78,-66
