product_id,price,update_date
100,270980,2023-02-08
101,76816,2023-02-11
102,86264,2023-01-25
103,980297,2023-02-28
104,610505,2023-03-13
105,506782,2023-01-09
106,850243,2023-02-11
107,296678,2023-02-07
108,840661,2023-01-15
109,104114,2023-01-10
110,356576,2023-03-27
111,841650,2023-01-01
112,534389,2023-01-18
113,311569,2023-02-22
114,636135,2023-01-27
115,392254,2023-01-16
116,439054,2023-02-10
117,474041,2023-03-01
118,904145,2023-01-03
119,532732,2023-03-01
120,294873,2023-01-12
121,405734,2023-01-22
122,133677,2023-02-04
123,129091,2023-02-15
124,300106,2023-03-25
125,638180,2023-03-22
126,214124,2023-03-18
127,881520,2023-02-18
128,651520,2023-01-16
129,772920,2023-03-03
130,72260,2023-03-28
131,388108,2023-03-13
132,465725,2023-03-28
133,543819,2023-02-23
134,727990,2023-02-24
135,320064,2023-01-21
136,840077,2023-02-13
137,688491,2023-01-27
138,527305,2023-01-22
139,552410,2023-01-15
140,690874,2023-01-24
141,943806,2023-02-25
142,823960,2023-03-07
143,757190,2023-02-07
144,433013,2023-03-06
145,948283,2023-01-28
146,378172,2023-02-14
147,951844,2023-01-03
148,995393,2023-01-17
149,665835,2023-02-03
150,686968,2023-01-20
151,919037,2023-03-31
152,195375,2023-01-21
153,274797,2023-03-06
154,638945,2023-01-21
155,631256,2023-03-18
156,583345,2023-01-08
157,913378,2023-01-22
158,118387,2023-03-13
159,982770,2023-03-26
160,606602,2023-01-19
161,979575,2023-03-26
162,53051,2023-04-03
163,696494,2023-03-12
164,790411,2023-04-03
165,219756,2023-03-23
166,731107,2023-02-14
167,251853,2023-04-01
168,46936,2023-02-05
169,833316,2023-03-30
170,394770,2023-02-08
171,860620,2023-03-03
172,188008,2023-03-09
173,727426,2023-02-27
174,48817,2023-01-24
175,587750,2023-03-28
176,796707,2023-01-23
177,142573,2023-03-28
178,612589,2023-02-04
179,257833,2023-02-12
180,775305,2023-03-07
181,617914,2023-01-21
182,880040,2023-03-10
183,359609,2023-01-05
184,9570,2023-03-12
185,241,2023-01-19
186,687227,2023-03-02
187,500175,2023-02-19
188,91737,2023-01-29
189,745274,2023-02-08
190,173892,2023-02-14
191,476637,2023-02-06
192,811463,2023-02-24
193,150626,2023-01-01
194,279040,2023-02-03
195,131582,2023-03-13
196,425221,2023-01-04
197,449829,2023-02-17
198,355023,2023-04-01
199,722840,2023-03-23
200,699770,2023-01-28
201,558462,2023-03-30
202,691886,2023-01-12
203,226280,2023-02-09
204,146800,2023-02-06
205,114412,2023-03-12
206,792834,2023-02-14
207,462962,2023-03-05
208,919913,2023-03-22
209,761792,2023-04-02
210,930595,2023-03-13
211,639529,2023-02-14
212,770080,2023-01-25
213,880789,2023-03-21
214,248489,2023-04-06
215,12028,2023-01-15
216,265600,2023-01-17
217,871788,2023-04-04
218,887599,2023-04-01
219,905220,2023-03-10
220,890553,2023-01-11
221,232197,2023-03-07
222,884471,2023-02-03
223,116296,2023-03-09
224,608701,2023-01-27
225,429009,2023-01-10
226,747848,2023-01-24
227,279933,2023-03-01
228,97331,2023-01-12
229,668451,2023-01-01
230,734968,2023-02-04
231,745477,2023-03-17
232,355740,2023-01-16
233,102206,2023-03-06
234,549393,2023-04-06
235,433939,2023-02-20
236,910063,2023-03-22
237,105560,2023-01-01
238,6441,2023-02-21
239,51194,2023-02-18
240,239944,2023-04-01
241,119589,2023-03-11
242,921345,2023-01-07
243,842748,2023-03-31
244,564216,2023-01-20
245,35647,2023-01-20
246,246314,2023-01-09
247,536926,2023-02-02
248,941825,2023-01-10
249,817720,2023-02-15
250,637889,2023-01-27
251,261354,2023-03-10
252,68581,2023-02-17
253,599555,2023-02-16
254,166331,2023-02-10
255,271681,2023-02-04
256,121085,2023-03-11
257,856516,2023-03-14
258,136027,2023-02-19
259,538420,2023-01-26
260,742462,2023-03-01
261,590245,2023-01-13
262,311671,2023-02-02
263,771912,2023-03-28
264,464885,2023-02-28
265,593073,2023-03-08
266,871405,2023-01-18
267,637654,2023-03-10
268,811164,2023-03-19
269,176561,2023-03-02
270,530802,2023-03-24
271,915534,2023-01-02
272,801597,2023-03-29
273,654531,2023-04-05
274,289250,2023-01-04
275,131316,2023-02-16
276,870856,2023-03-19
277,867082,2023-03-14
278,613456,2023-02-20
279,341946,2023-03-01
280,443782,2023-02-26
281,243618,2023-02-25
282,23855,2023-03-04
283,751598,2023-01-07
284,176008,2023-01-04
285,977400,2023-02-20
286,38958,2023-02-05
287,63159,2023-03-09
288,980589,2023-04-06
289,29123,2023-01-26
290,659467,2023-01-27
291,141209,2023-03-10
292,249211,2023-03-28
293,761052,2023-03-23
294,327051,2023-02-20
295,487763,2023-02-08
296,932737,2023-01-02
297,897403,2023-02-20
298,862807,2023-04-02
299,159752,2023-03-16
300,175006,2023-01-07
301,34639,2023-02-15
302,547386,2023-01-21
303,672227,2023-03-04
304,500869,2023-01-03
305,515017,2023-01-05
306,282241,2023-02-06
307,782437,2023-03-09
308,842441,2023-04-01
309,648129,2023-02-08
310,460862,2023-02-06
311,43002,2023-03-02
312,107734,2023-01-17
313,895712,2023-02-26
314,323384,2023-01-16
315,909863,2023-02-20
316,160342,2023-01-09
317,93422,2023-03-21
318,790162,2023-01-27
319,422054,2023-03-12
320,995808,2023-01-17
321,184924,2023-01-21
322,312511,2023-01-08
323,150365,2023-02-10
324,953705,2023-02-26
325,512040,2023-01-29
326,945614,2023-03-20
327,683928,2023-03-31
328,424861,2023-03-16
329,64894,2023-02-05
330,204670,2023-03-22
331,403087,2023-01-15
332,63201,2023-02-14
333,10949,2023-01-03
334,705740,2023-01-21
335,612774,2023-03-10
336,591454,2023-02-27
337,718947,2023-03-28
338,111506,2023-03-19
339,721199,2023-02-06
340,896838,2023-02-06
341,205104,2023-03-30
342,710741,2023-03-27
343,767813,2023-03-20
344,735323,2023-01-11
345,985445,2023-04-07
346,226399,2023-03-11
347,908795,2023-04-04
348,402667,2023-02-03
349,116607,2023-03-27
350,869411,2023-03-05
351,723405,2023-03-26
352,600785,2023-02-15
353,231038,2023-01-19
354,449875,2023-02-23
355,566350,2023-04-06
356,189183,2023-02-05
357,716809,2023-02-14
358,84453,2023-03-05
359,745065,2023-02-25
360,48349,2023-01-27
361,477730,2023-02-14
362,941155,2023-02-19
363,228082,2023-03-08
364,659916,2023-03-13
365,531583,2023-01-03
366,41893,2023-02-02
367,647046,2023-03-14
368,353902,2023-02-01
369,968863,2023-01-17
370,141641,2023-03-11
371,592599,2023-02-28
372,103320,2023-01-19
373,742110,2023-03-05
374,257953,2023-03-31
375,358154,2023-02-21
376,975611,2023-03-03
377,671555,2023-03-04
378,506898,2023-03-27
379,390129,2023-01-25
380,479361,2023-03-24
381,409193,2023-02-06
382,314526,2023-01-14
383,714440,2023-01-10
384,773922,2023-02-23
385,162015,2023-01-23
386,185993,2023-01-19
387,210876,2023-02-04
388,422750,2023-01-12
389,495544,2023-04-04
390,847388,2023-03-25
391,93863,2023-03-31
392,434463,2023-01-02
393,124583,2023-01-07
394,613146,2023-01-21
395,928595,2023-03-10
396,591800,2023-03-26
397,15278,2023-02-25
398,959215,2023-02-17
399,943003,2023-03-24
400,356894,2023-01-23
401,688453,2023-04-06
402,900045,2023-01-16
403,667278,2023-01-09
404,822333,2023-01-23
405,42139,2023-03-10
406,981277,2023-02-10
407,304750,2023-01-23
408,397734,2023-02-25
409,611012,2023-01-07
410,667857,2023-03-17
411,244680,2023-02-12
412,32029,2023-03-25
413,825049,2023-02-03
414,792177,2023-03-03
415,127297,2023-02-25
416,390717,2023-03-27
417,412967,2023-03-03
418,665201,2023-03-24
419,511467,2023-04-05
420,830360,2023-03-26
421,374738,2023-02-02
422,811225,2023-01-01
423,407898,2023-01-17
424,789999,2023-01-16
425,11051,2023-01-23
426,159465,2023-03-01
427,452353,2023-03-13
428,583459,2023-03-01
429,702471,2023-03-15
430,951568,2023-03-08
431,742413,2023-03-23
432,722401,2023-03-09
433,280343,2023-02-28
434,654544,2023-02-21
435,494912,2023-03-05
436,128932,2023-03-18
437,809213,2023-03-05
438,662825,2023-03-13
439,735290,2023-02-12
440,918505,2023-02-19
441,907528,2023-03-11
442,728874,2023-03-19
443,872731,2023-01-05
444,707960,2023-02-03
445,946447,2023-04-05
446,351911,2023-01-17
447,339188,2023-03-16
448,175793,2023-03-27
449,586336,2023-02-16
450,581020,2023-01-28
451,185794,2023-02-23
452,781339,2023-04-04
453,597699,2023-01-23
454,934261,2023-01-27
455,368716,2023-03-24
456,454559,2023-03-16
457,933491,2023-03-24
458,127952,2023-03-12
459,127815,2023-02-13
460,816334,2023-04-03
461,330829,2023-02-05
462,178332,2023-01-09
463,164979,2023-02-28
464,456606,2023-02-26
465,988263,2023-03-28
466,508825,2023-01-21
467,316941,2023-02-24
468,794053,2023-02-02
469,418163,2023-01-31
470,674630,2023-02-13
471,145297,2023-03-26
472,732289,2023-03-26
473,516809,2023-01-22
474,451611,2023-01-24
475,839820,2023-01-06
476,785917,2023-01-25
477,629563,2023-04-01
478,51659,2023-03-27
479,999612,2023-01-25
480,432063,2023-01-11
481,517656,2023-03-23
482,137815,2023-04-04
483,543867,2023-01-26
484,130541,2023-03-17
485,9491,2023-03-14
486,998925,2023-02-03
487,427344,2023-01-09
488,850128,2023-02-20
489,617464,2023-03-31
490,516231,2023-01-12
491,178518,2023-03-05
492,710127,2023-01-06
493,455742,2023-01-08
494,478847,2023-03-04
495,595952,2023-02-08
496,926255,2023-04-05
497,616090,2023-02-18
498,655971,2023-02-09
499,446121,2023-01-08
500,937969,2023-03-20
501,883030,2023-02-04
502,698663,2023-01-19
503,17863,2023-02-25
504,428392,2023-01-19
505,812001,2023-02-03
506,55868,2023-01-25
507,356211,2023-03-19
508,384443,2023-02-23
509,256613,2023-01-22
510,906421,2023-03-04
511,130420,2023-01-14
512,432468,2023-02-11
513,406472,2023-03-25
514,119577,2023-02-10
515,242191,2023-03-05
516,442840,2023-02-20
517,892841,2023-02-15
518,98904,2023-04-02
519,864141,2023-02-04
520,643976,2023-04-01
521,877910,2023-04-02
522,34822,2023-02-23
523,706443,2023-01-17
524,343169,2023-03-23
525,142763,2023-01-08
526,123153,2023-01-17
527,240877,2023-03-14
528,700773,2023-02-03
529,901904,2023-01-12
530,133553,2023-02-03
531,733451,2023-02-26
532,484593,2023-02-07
533,730271,2023-02-23
534,73814,2023-01-04
535,665042,2023-01-15
536,442195,2023-04-06
537,404463,2023-04-04
538,937623,2023-01-03
539,553252,2023-01-01
540,492251,2023-02-08
541,951305,2023-01-07
542,515824,2023-04-01
543,368113,2023-01-07
544,435992,2023-02-13
545,982840,2023-03-04
546,45866,2023-03-29
547,549215,2023-01-12
548,632333,2023-01-03
549,719063,2023-03-21
550,440342,2023-04-06
551,296832,2023-02-16
552,412577,2023-03-09
553,611729,2023-03-30
554,481936,2023-01-09
555,193001,2023-02-28
556,24836,2023-03-15
557,699300,2023-01-10
558,933382,2023-01-10
559,939478,2023-01-16
560,293178,2023-03-23
561,961464,2023-03-22
562,367986,2023-02-20
563,617711,2023-03-14
564,499107,2023-02-25
565,415647,2023-03-16
566,893465,2023-03-21
567,203592,2023-03-31
568,846579,2023-01-15
569,857698,2023-01-20
570,506636,2023-01-07
571,902757,2023-03-02
572,824971,2023-01-05
573,331401,2023-01-31
574,501389,2023-01-21
575,444916,2023-04-03
576,110352,2023-02-15
577,412686,2023-01-03
578,851963,2023-01-20
579,373137,2023-02-27
580,59875,2023-02-24
581,196781,2023-02-03
582,344365,2023-04-06
583,892708,2023-03-07
584,146530,2023-01-03
585,965641,2023-03-01
586,914269,2023-01-10
587,169838,2023-01-18
588,590110,2023-03-05
589,654093,2023-03-30
590,725902,2023-04-01
591,251253,2023-02-10
592,827740,2023-03-17
593,283293,2023-02-18
594,46349,2023-01-31
595,543669,2023-01-27
596,619129,2023-04-03
597,338721,2023-02-27
598,879146,2023-03-05
599,176247,2023-01-24
600,637118,2023-01-04
601,859228,2023-02-16
602,757310,2023-03-27
603,300864,2023-02-04
604,233340,2023-02-19
605,403040,2023-01-26
606,905151,2023-03-01
607,980371,2023-03-28
608,942090,2023-01-08
609,283466,2023-01-23
610,771189,2023-04-05
611,344428,2023-01-30
612,370385,2023-04-03
613,929958,2023-01-09
614,833424,2023-03-21
615,467868,2023-01-15
616,1957,2023-01-17
617,743946,2023-03-05
618,82518,2023-03-19
619,251254,2023-01-05
620,961474,2023-02-23
621,275422,2023-01-06
622,300290,2023-03-20
623,47304,2023-01-21
624,655329,2023-01-19
625,805962,2023-01-14
626,206554,2023-04-05
627,990916,2023-01-08
628,799155,2023-03-17
629,35416,2023-04-01
630,202427,2023-03-17
631,588338,2023-01-13
632,417438,2023-01-18
633,474141,2023-03-12
634,162816,2023-02-25
635,723381,2023-03-07
636,748815,2023-01-18
637,63859,2023-03-04
638,942752,2023-02-16
639,2036,2023-02-16
640,819650,2023-01-24
641,484210,2023-01-10
642,813558,2023-03-24
643,575197,2023-04-05
644,979981,2023-03-25
645,472384,2023-03-23
646,605643,2023-03-22
647,686200,2023-01-19
648,57885,2023-01-08
649,815578,2023-03-17
650,799684,2023-01-03
651,566164,2023-03-02
652,763650,2023-01-16
653,674200,2023-03-12
654,394305,2023-02-15
655,300711,2023-03-08
656,20293,2023-03-13
657,52979,2023-01-29
658,925055,2023-03-08
659,944321,2023-01-23
660,917016,2023-01-09
661,980166,2023-01-30
662,904990,2023-02-08
663,942945,2023-03-27
664,28407,2023-03-08
665,233946,2023-03-23
666,233642,2023-01-28
667,192130,2023-02-10
668,862005,2023-01-26
669,433260,2023-03-03
670,563424,2023-03-13
671,632231,2023-03-20
672,673986,2023-01-02
673,630623,2023-02-16
674,925293,2023-04-02
675,84204,2023-01-21
676,505303,2023-01-20
677,766308,2023-01-01
678,396671,2023-02-27
679,123290,2023-01-18
680,67820,2023-03-14
681,530817,2023-03-02
682,748057,2023-01-05
683,817090,2023-03-23
684,690539,2023-01-17
685,133045,2023-01-13
686,366923,2023-03-14
687,547139,2023-01-19
688,50890,2023-01-07
689,375339,2023-01-14
690,948462,2023-01-18
691,796041,2023-02-28
692,93617,2023-03-29
693,480703,2023-01-12
694,587144,2023-01-13
695,87216,2023-03-29
696,540649,2023-02-19
697,817341,2023-02-06
698,899813,2023-01-31
699,660606,2023-03-07
700,202943,2023-01-23
701,844877,2023-03-12
702,856313,2023-04-01
703,714442,2023-03-29
704,808154,2023-02-16
705,969138,2023-04-02
706,257539,2023-01-19
707,595819,2023-01-10
708,421260,2023-02-16
709,36711,2023-03-06
710,149782,2023-01-27
711,480716,2023-02-17
712,15573,2023-02-04
713,624868,2023-02-14
714,687461,2023-04-04
715,961714,2023-04-05
716,638312,2023-03-10
717,977528,2023-03-02
718,165372,2023-01-29
719,903025,2023-02-24
720,955847,2023-02-08
721,656187,2023-02-19
722,656974,2023-02-17
723,168112,2023-02-10
724,92419,2023-01-22
725,672213,2023-03-24
726,574385,2023-01-27
727,940796,2023-03-19
728,626360,2023-03-07
729,38230,2023-02-15
730,604495,2023-01-16
731,541574,2023-02-21
732,399031,2023-03-09
733,475592,2023-03-20
734,36318,2023-02-21
735,954039,2023-03-03
736,479555,2023-01-14
737,230984,2023-01-07
738,719845,2023-01-02
739,112577,2023-03-13
740,518948,2023-01-07
741,840357,2023-02-16
742,465165,2023-01-14
743,814522,2023-01-18
744,838623,2023-01-15
745,819504,2023-03-29
746,794000,2023-04-01
747,478902,2023-03-23
